,productname,nutriscorescore,nutriscoregrade,energy100g,saturatedfat100g,sugars100g,fiber100g,proteins100g,sodium100g,our_score
70,Vitelle nut clusters,6,c,1705,1.0,19.9,10.4,10.9,0.23,16.0
71,Barre de céréales riz et blé complet chocolat noir,6,c,2633,4.6,4.0,13.0,26.0,0.004,16.2
72,Stylesse Chocolat au Lait,10,c,1697,3.3,23.0,5.3,7.4,0.26,14.2
73,Corn Flakes,9,c,1590,0.2,1.9,3.4,7.2,0.76,14.6
74,Choco Curlz,7,c,1658,1.4,29.0,6.6,9.6,0.096,15.4
75,Stylesse Chocolat Noir,9,c,1697,3.9,22.0,6.3,7.4,0.248,14.8
76,Pétales multicereales cranberry et coco,6,c,1602,1.4,15.0,0.0,7.8,0.24,14.2
77,Pétale Choc’,8,c,1590,2.0,33.0,8.0,8.0,0.12,14.8
78,Cheroky,7,c,1616,1.2,27.5,7.6,9.5,0.11176,15.4
79,Chocapic granola,7,c,1780,2.22,18.9,8.44,9.78,0.107,15.4
80,Corn Flakes bio,6,c,1573,0.2,4.0,5.0,8.0,0.72,15.6
81,Cornflakes,9,c,1586,0.2,2.2,3.3,7.2,0.8,14.2
82,Céréales Petale Choc,5,c,1615,2.6,21.3,0.0,9.6,0.004,14.6
83,Corn Flakes,10,c,1597,0.6,8.5,3.3,7.9,0.76,13.4
84,Corn Flakes,9,c,1509,0.1,6.5,3.9,6.5,0.76,14.2
85,Spécial K feuilles de chocolat noir,8,c,1586,3.0,21.0,5.1,8.4,0.32,14.8
86,Fitness Chocolat Au Lait,10,c,1669,4.3,20.0,7.0,8.5,0.32,13.2
87,Fitness Chocolat Noir,10,c,1687,4.5,17.0,7.9,8.9,0.3,13.2
88,Pétales de Blé goût chocolat,10,c,1590,1.3,31.3,5.3,8.1,0.3,14.8
89,Paddy Pétales de blé complets,9,c,1605,1.5,36.0,8.0,8.0,0.22,11.9
90,American Style Chicken Strips with Curry Dip,4,c,776,0.5,7.3,0.0,14.0,0.56,14.5
91,"Super flakes copeaux de chocolat noir, riz et épautre complet",6,c,1724,4.4,12.0,6.0,11.0,0.008,15.4
92,Berries & Cherries Flakes,7,c,1566,0.3,14.5,3.8,12.8,0.372,15.8
93,Spécial K Barres Croustillantes fruits rouges,10,c,1630,4.9,27.0,9.9,6.0,0.232,10.4
94,Petales riz & ble complet aux fruits rouges,8,c,1626,0.4,19.0,4.2,9.2,0.412,14.8
95,Pétales choco,7,c,1611,1.6,29.0,4.0,8.0,0.04,14.4
96,Pétales choco,7,c,1628,1.4,27.2,6.5,8.1,0.128,15.6
97,Pétales de blé complet et riz,6,c,1552,0.2,16.0,6.0,8.4,0.4,16.2
98,Flakes Fruit & Fibre,8,c,1602,3.4,21.6,12.1,9.8,0.2,15.4
99,Pétales De Riz Et Blé Complet Aux Fruits Rouges,8,c,1582,0.3,21.8,4.0,8.7,0.392,15.2
100,Pétales de blé au chocolat,6,c,1598,0.7,30.0,5.8,8.6,0.14,16.2
101,Confiture d'abricot Pétales de Rose,8,c,1008,0.1,57.5,0.0,0.6,0.012,12.4
102,Corn Flakes,8,c,1552,0.3,6.0,3.0,8.0,0.6,15.8
103,"Deliform chocolat au lait - Pétales de riz, blé complet",9,c,1680,3.3,22.0,6.0,7.5,0.26,14.2
104,"Deliform chocolat noir Pétales de riz, blé complet",9,c,1693,3.8,21.0,7.1,7.5,0.232,14.8
105,Pétales de blé au chocolat,7,c,1632,1.7,30.0,7.0,9.0,0.12,15.2
106,petales croustillants saveur oignon,10,c,1660,1.1,4.0,18.0,45.0,1.07,13.5
107,Pétales de blé goût Chocolat (maxi pack),7,c,1628,1.1,28.0,6.8,9.3,0.108,15.4
108,Mix Muesli & Flakes Chocolat Noisette,9,c,1902,4.6,16.0,6.9,9.5,0.26,13.4
109,Pétales Epeautre complet et riz au chocolat,8,c,1720,4.9,9.0,5.5,10.0,0.34,11.6
110,Stylesse Chocolat Noir,9,c,1697,3.9,22.0,6.3,7.4,0.248,14.8
111,Stylesse chocolat noir,9,c,1697,3.9,22.0,6.3,7.4,0.248,14.8
112,Petales De Riz Ble Complet Chocolat,8,c,1653,3.8,22.0,6.3,7.4,0.252,14.8
113,Stylesses chocolat noir,8,c,1668,3.8,22.0,6.3,7.4,0.252,14.8
114,Stylesse chocolat au lait,10,c,1697,3.3,23.0,5.3,7.4,0.26,14.2
115,Pétales de riz et blé complet enrobés de chocolat,6,c,1460,0.8,24.0,0.0,8.0,0.152,15.0
116,Formes flakes pétales de riz et de blé complet aux copeaux de chocolat au lait,10,c,1708,3.7,21.0,4.4,7.9,0.24,14.0
117,Pétales de riz et blé complet,9,c,1565,0.7,17.1,2.7,12.7,0.44,14.8
118,Pétales de blé complet et de riz,4,c,1569,0.3,11.0,0.0,11.0,0.324,15.4
119,Corn Flakes,9,c,1599,0.1,6.5,3.9,6.8,0.76,14.2
120,Spécial Flakes chocolat noir,8,c,1695,4.2,17.7,6.9,9.0,0.124,14.8
121,Grand Jury Cornflakes,10,c,1597,0.6,8.5,3.3,7.9,0.76,13.4
122,Petales au chocolat noir,8,c,1676,3.8,8.2,5.1,9.2,0.38,15.0
123,Stylesse Chocolat Noir,9,c,1697,3.9,22.0,6.3,7.4,0.248,14.8
124,Pétales de blé au chocolat,7,c,1636,1.2,29.0,6.5,9.3,0.16,15.4
125,Petales de cereales falafel,7,c,1565,0.4,7.7,6.2,7.2,0.68,14.8
126,"Pétales de riz, blé complet et orge nature",7,c,1624,0.3,17.0,4.5,8.0,0.4,15.2
127,Cini Minis Crunchy Muesli,8,c,1754,1.3,22.4,4.7,7.7,0.26,14.6
128,Corn flakes pétales de maïs dorés,6,c,351,0.2,25.0,0.0,2.6,0.132,15.3
129,Petales de riz et de blé complet Nature,8,c,1620,0.333,17.0,3.0,9.33,0.44,14.8
130,Céréales pétales au chocolat,5,c,1556,0.8,26.0,0.0,9.3,0.12,15.0
131,Oatbran Crisp Nuts & Honey,8,c,1791,4.8,20.1,7.7,9.7,0.012,14.8
132,Chabrior Forme & Nature,3,c,1632,0.3,11.2,2.8,7.7,0.32,15.8
133,Special K Chocolat Noir,8,c,1661,3.0,21.0,5.1,8.4,0.32,14.8
134,Pétales de maïs,6,c,1552,0.2,1.0,5.0,8.0,0.7,17.6
135,Bran' form fruits secs,10,c,1532,2.8,21.0,11.0,11.0,0.48,14.2
136,Pétales de blé au chocolat,9,c,1611,1.5,28.5,7.0,10.0,0.28,14.6
137,Corn flakes,10,c,1604,0.6,8.0,3.3,8.0,0.76,14.0
138,Pétales choco craquants,7,c,1649,1.7,30.0,6.2,9.0,0.092,15.2
139,Pétales Riz & blé complet Nature,8,c,1650,0.333,17.0,3.0,9.33,0.44,14.8
140,Déliform Nature,6,c,1573,0.2,18.0,5.8,7.4,0.44,15.4
141,COCO pops,7,c,1577,0.9,27.0,5.0,10.0,0.312,15.0
142,Corn Flakes Dia,8,c,1625,0.5,8.6,3.4,8.0,0.56896,15.0
143,Corn Flakes,3,c,1594,0.2,4.0,0.0,7.5,0.32,15.4
144,Chocapic Cœur Fondant,10,c,1718,4.3,25.7,6.4,7.9,0.144,13.2
145,Crousty Cao BIO,8,c,1741,3.1,24.3,8.6,9.2,0.076,15.4
146,Cao Flakes,8,c,1628,2.2,27.8,9.2,9.1,0.16,14.8
147,Crousti' Pétal Sucré,8,c,1632,0.2,19.9,3.5,7.7,0.296,15.2
148,Pétales de Maïs Glacés au Sucre,9,c,1624,0.2,22.0,2.1,7.1,0.3,15.2
149,Pétales de blé et fruits rouges,6,c,1561,0.2,18.4,4.9,7.9,0.36,16.0
