productname,nutriscorescore,nutriscoregrade,energy100g,saturatedfat100g,sugars100g,fiber100g,proteins100g,sodium100g
Pétales de maïs sucrés,13,d,1616,0.5,24,2.7,6.5,0.6
Spiruline en Petales,17,d,1552,3.2,0,0,68.9,1.96
Pétales goût salé,14,d,2035,1.6,0.5,3.5,5.2,1.016
Pétales salés,14,d,2029,2.1,0.5,4,3.5,0.96
Corn Fakes Choco,12,d,1611,1.2,24,0,6.1,0.22
Fruits et Fibres,12,d,1676,5,23,9,9,0.352
Pétales de saumon fumé,15,d,1100,2.7,0.5,0,23,1.08
Cruesli crispy chocolat,14,d,1895,4.3,17,0,7.6,0.2
Confit De Pétales De Violettes,12,d,833,0.1,50,0,0.5,0.008
Confit de pétales de roses,13,d,1025,0.1,61,0,0.5,0.016
Confit de pétales de roses,13,d,1105,0.1,55,0,0.5,0.008
Confit de pétales de rose,13,d,1025,0.1,61,0,0.5,0.016
Confit de pétales de rose,13,d,1080,0.01,61,0,0.3,0.0032
Confit de pétales de rose,12,d,832,0,49,0,0,0
Confit de pétales de rose de Provence,13,d,1124,0.1,55,0.5,0.5,0.008
Pétales de rose,13,d,1205,0.1,71,0,0.5,0.014
Pétales de roses,13,d,1205,0.1,71,0,0.5,0.012
Spécialité de Rose,12,d,987,0,59,0,0,0
Petales de rose,13,d,1025,0.1,61,0,0.5,0.016
Pétales de  Paleta PATA NEGRA,18,d,1187,5.6,0.5,0,34,2.16
Pétales De Saumon Fumé Sauvage,11,d,502,0.5,0.3,0,23.8,1.32
Pétales salés,13,d,2049,2,0.5,4.3,4.3,0.96
Les recettes belin fines au four goût fromage frais et oignon,12,d,1862,1.8,5.3,5.1,5.3,1.58
Pétales à la crevette,16,d,2233,2.8,7,1.7,2.1,0.76
Pétales de maïs,12,d,1548,0.3,30,0,5,0.252
Pétales de saumon fumé,13,d,741,1.4,0,0,23,1.12
Pétale de Blé Goût Cacao,11,d,1619,1.3,23.3,0,10.6,0.12
Pétales salés,18,d,2117,2.4,1,0,3.3,0.96
